,hotel,is_canceled,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival,lodgings
0,Resort Hotel,Yes,85,0,3,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,82,0,1,Canceled,06/05/2018,01/07/2018,3
1,Resort Hotel,Yes,75,0,3,2,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,0,Transient,105.5,0,0,Canceled,22/04/2018,01/07/2018,3
2,Resort Hotel,Yes,23,0,4,2,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,123,0,0,Canceled,23/06/2018,01/07/2018,4
3,Resort Hotel,Yes,60,2,5,2,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,107,0,2,Canceled,11/05/2018,01/07/2018,7
4,Resort Hotel,Yes,96,2,8,2,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,14,0,Transient,108.3,0,2,Canceled,29/05/2018,01/07/2018,10
5,Resort Hotel,Yes,45,1,3,3,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,Transient,108.8,0,1,Canceled,19/05/2018,02/07/2018,4
6,Resort Hotel,Yes,40,1,3,3,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,Transient,108.8,0,1,Canceled,19/06/2018,02/07/2018,4
7,Resort Hotel,Yes,43,1,3,3,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,Transient,108.8,0,0,Canceled,23/05/2018,02/07/2018,4
8,Resort Hotel,Yes,45,2,3,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,0,Transient,117.81,0,0,Canceled,18/05/2018,02/07/2018,5
9,Resort Hotel,Yes,47,2,5,2,2,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,153,0,0,Canceled,02/06/2018,02/07/2018,7
10,Resort Hotel,Yes,3,0,3,2,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,136.33,0,2,Canceled,29/06/2018,02/07/2018,3
11,Resort Hotel,Yes,71,0,2,3,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,0,Transient,110.3,0,2,Canceled,16/06/2018,03/07/2018,2
12,Resort Hotel,Yes,63,0,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,82,0,2,Canceled,18/06/2018,03/07/2018,2
13,Resort Hotel,Yes,62,0,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,97,0,1,Canceled,03/07/2018,03/07/2018,2
14,Resort Hotel,Yes,101,0,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,73.8,0,1,Canceled,12/06/2018,03/07/2018,2
15,Resort Hotel,Yes,51,0,2,3,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,0,Transient,110.3,0,0,Canceled,09/06/2018,03/07/2018,2
16,Resort Hotel,Yes,48,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,123,0,0,Canceled,26/05/2018,03/07/2018,3
17,Resort Hotel,Yes,368,3,7,2,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,Contract,55.68,0,0,Canceled,19/05/2018,03/07/2018,10
18,Resort Hotel,Yes,81,3,7,2,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250,0,Transient,124,0,1,Canceled,09/06/2018,03/07/2018,10
19,Resort Hotel,Yes,79,6,15,2,1,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,0,Transient,108.73,0,2,Canceled,15/04/2018,03/07/2018,21
20,Resort Hotel,Yes,109,0,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,123,0,1,Canceled,26/05/2018,03/07/2018,2
21,Resort Hotel,Yes,72,0,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,73.8,0,1,Canceled,29/06/2018,03/07/2018,2
22,Resort Hotel,Yes,63,2,5,2,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,0,Transient,117,0,1,Canceled,13/05/2018,03/07/2018,7
23,Resort Hotel,Yes,26,2,5,2,2,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,Transient,163,0,0,Canceled,09/06/2018,04/07/2018,7
24,Resort Hotel,Yes,73,2,5,3,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,0,Transient,172,0,1,Canceled,20/05/2018,04/07/2018,7
25,Resort Hotel,Yes,102,2,5,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,110.7,0,1,Canceled,22/04/2018,04/07/2018,7
26,Resort Hotel,Yes,101,2,6,2,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,96.3,0,1,Canceled,12/05/2018,04/07/2018,8
27,Resort Hotel,Yes,51,0,1,1,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,105,0,0,Canceled,29/05/2018,04/07/2018,1
28,Resort Hotel,Yes,73,0,1,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,73.8,0,2,Canceled,13/05/2018,04/07/2018,1
29,Resort Hotel,Yes,33,0,1,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,113,0,0,Canceled,16/06/2018,04/07/2018,1
30,Resort Hotel,Yes,5,1,0,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,97,0,0,Canceled,01/07/2018,05/07/2018,1
